鄂武商A (000501) EPS:1.17 safe_price:13.448275857899999 close:16.07 open:15.92
绿景控股 (000502) EPS:-0.31 safe_price:-3.5632183897000003 close:10.18 open:10.05
海虹控股 (000503) EPS:-0.17 safe_price:-1.9540229879000002 close:40.08 open:39.98
南华生物 (000504) EPS:-0.07 safe_price:-0.8045977009000002 close:22.98 open:23.5
珠江控股 (000505) EPS:0.18 safe_price:2.0689655166 close:9.02 open:9.08
中润资源 (000506) EPS:-0.15 safe_price:-1.7241379305 close:7.45 open:7.4
珠海港 (000507) EPS:0.14 safe_price:1.6091954018000003 close:10.08 open:9.98
华塑控股 (000509) EPS:-0.02 safe_price:-0.2298850574 close:6.12 open:5.87
金路集团 (000510) EPS:0.06 safe_price:0.6896551721999999 close:8.25 open:8.11
*ST烯碳 (000511) EPS:-0.11 safe_price:-1.2643678157 close:5.27 open:5.27
丽珠集团 (000513) EPS:7.76 safe_price:89.1954022712 close:68.2 open:67.15
渝开发 (000514) EPS:0.08 safe_price:0.9195402296 close:6.42 open:6.43
国际医学 (000516) EPS:0.09 safe_price:1.0344827583 close:4.59 open:4.56
荣安地产 (000517) EPS:0.15 safe_price:1.7241379305 close:3.54 open:3.52
四环生物 (000518) EPS:0.03 safe_price:0.34482758609999997 close:6.92 open:7.0
中兵红箭 (000519) EPS:0.02 safe_price:0.2298850574 close:9.94 open:9.93
长航凤凰 (000520) EPS:0.03 safe_price:0.34482758609999997 close:4.06 open:4.05
美菱电器 (000521) EPS:0.12 safe_price:1.3793103443999999 close:5.15 open:5.13
白云山A (000522) EPS:0.25 safe_price:2.8735632175 close:23.27 open:0.0
广州浪奇 (000523) EPS:0.04 safe_price:0.4597701148 close:8.38 open:8.33
岭南控股 (000524) EPS:0.21 safe_price:2.4137931027 close:11.77 open:11.67
红太阳 (000525) EPS:0.9 safe_price:10.344827583 close:19.64 open:20.09
*ST紫学 (000526) EPS:0.66 safe_price:7.586206894200001 close:36.68 open:36.3
美的电器 (000527) EPS:0.77 safe_price:8.8505747099 close:14.02 open:0.0
柳工 (000528) EPS:0.25 safe_price:2.8735632175 close:8.09 open:8.05
广弘控股 (000529) EPS:0.17 safe_price:1.9540229879000002 close:7.08 open:7.06
大冷股份 (000530) EPS:0.17 safe_price:1.9540229879000002 close:5.43 open:5.42
穗恒运A (000531) EPS:0.22 safe_price:2.5287356314 close:8.29 open:8.33
华金资本 (000532) EPS:0.08 safe_price:0.9195402296 close:10.87 open:10.81
万家乐 (000533) EPS:0.03 safe_price:0.34482758609999997 close:10.21 open:10.24
万泽股份 (000534) EPS:0.03 safe_price:0.34482758609999997 close:13.66 open:13.69
华映科技 (000536) EPS:0.07 safe_price:0.8045977009000002 close:4.65 open:4.63
广宇发展 (000537) EPS:0.26 safe_price:2.9885057462000004 close:12.62 open:12.44
云南白药 (000538) EPS:2.5 safe_price:28.735632175 close:101.33 open:99.0
粤电力A (000539) EPS:0.15 safe_price:1.7241379305 close:4.81 open:4.79
